raw,error,OtherCorporationName,CorporationName,CorporationNameOrganization,CorporationNameAndCompany,CorporationNameBranchType,CorporationNameBranchIdentifier,CorporationCommitteeType,CorporationLegalType,ShortForm,ProxyFor,AKA
TIME WARNER INC.,,,TIME WARNER,,,,,,INC.,,,
CHIEF OF THE NATIONAL GUARD,,,CHIEF OF THE NATIONAL GUARD,,,,,,,,,
FIDELITY INVESTMENTS,,,FIDELITY INVESTMENTS,,,,,,,,,
U.S. HOUSE OF REPRESENTATIVES,,,U.S. HOUSE OF REPRESENTATIVES,,,,,,,,,
U.S. DEPARTMENT OF HHS,,,U.S. DEPARTMENT OF HHS,,,,,,,,,
ENTERPRISE BANK & TRUST,,,ENTERPRISE BANK & TRUST,,,,,,,,,
DISNEY THEATRICAL,,,DISNEY THEATRICAL,,,,,,,,,
N2 INTERNATIONAL SOLUTIONS,,,N2,INTERNATIONAL SOLUTIONS,,,,,,,,
ALUMNI AWARDS FOUNDATION,,,ALUMNI AWARDS,FOUNDATION,,,,,,,,
SEATTLE GENETICS INC.,,,SEATTLE GENETICS,,,,,,INC.,,,
MICHAEL O'QUINN,,,MICHAEL O'QUINN,,,,,,,,,
PANGAEA GLOBAL AIDS,,,PANGAEA GLOBAL AIDS,,,,,,,,,
FAMILY SERVICE OF MORRIS COUNTY,,,FAMILY SERVICE OF MORRIS COUNTY,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
WHITE & CASE LLP,,,WHITE & CASE LLP,,,,,,,,,
CARDENAS MARKETING NETWORK,,,CARDENAS MARKETING NETWORK,,,,,,,,,
EUREKA CASINO RESORTS,,,EUREKA CASINO RESORTS,,,,,,,,,
COLDWELL BANKER,,,COLDWELL BANKER,,,,,,,,,
WINNING STRATEGIES,,,WINNING STRATEGIES,,,,,,,,,
BANK OF AMERICA,,,BANK OF AMERICA,,,,,,,,,
CNH INDUSTRIAL,,,CNH INDUSTRIAL,,,,,,,,,
MOSKOWITZ MANDELL SALIM & SIMOWITZ,,,MOSKOWITZ MANDELL SALIM & SIMOWITZ,,,,,,,,,
WEIL,,,WEIL,,,,,,,,,
ARNOLD & PORTER LLP,,,ARNOLD & PORTER,,,,,,LLP,,,
BANK OF AMERICA,,,BANK OF AMERICA,,,,,,,,,
JNA CAPITAL,,,JNA CAPITAL,,,,,,,,,
LATHAM & WATKINS LLP,,,LATHAM & WATKINS,,,,,,LLP,,,
MORGAN LEWIS & BOCKIUS LLP,,,MORGAN LEWIS & BOCKIUS,,,,,,LLP,,,
MAYER BROWN,,,MAYER BROWN,,,,,,,,,
MILWAUKEE EYE CARE ASSOCIATES,,,MILWAUKEE EYE CARE,ASSOCIATES,,,,,,,,
ECLECTIC PICTURES,,,ECLECTIC PICTURES,,,,,,,,,
ADVANCED CHIROPRACTIC OFFICE,,,ADVANCED CHIROPRACTIC OFFICE,,,,,,,,,
TUFTS UNIVERSITY,,,TUFTS UNIVERSITY,,,,,,,,,
MACGILLIVRAY FREEMAN,,,MACGILLIVRAY FREEMAN,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
MORGAN LEWIS & BOCKIUS LLP,,,MORGAN LEWIS & BOCKIUS,,,,,,LLP,,,
GOLDMAN SACHS,,,GOLDMAN SACHS,,,,,,,,,
RESOURCES GLOBAL PROFESSIONALS,,,RESOURCES GLOBAL PROFESSIONALS,,,,,,,,,
OMSD,,,,,,,,,,OMSD,,
M PUBLIC AFFAIRS,,,M PUBLIC AFFAIRS,,,,,,,,,
DENARII SYSTEMS,,,DENARII SYSTEMS,,,,,,,,,
PITTMAN,,,PITTMAN,,,,,,,,,
CIRESI CONLIN,,,CIRESI CONLIN,,,,,,,,,
DEPARTMENT OF STATE,,,OF STATE,DEPARTMENT,,,,,,,,
SHERMAN INTERNATIONAL,,,SHERMAN,INTERNATIONAL,,,,,,,,
MDC PARTNERS,,,MDC,PARTNERS,,,,,,,,
HUMAN RIGHTS CAMPAIGN FOUNDATION,,,HUMAN RIGHTS CAMPAIGN,FOUNDATION,,,,,,,,
GILL ACTION LLC,,,GILL ACTION,,,,,,LLC,,,
PERRY CAPITAL,,,PERRY CAPITAL,,,,,,,,,
INDIVISIBLE,,,INDIVISIBLE,,,,,,,,,
EASTDIL SECURED LLC,,,EASTDIL SECURED,,,,,,LLC,,,
CARDEAS PHARMA,,,CARDEAS PHARMA,,,,,,,,,
LEHMAN BROTHERS HOLDINGS INC,,,LEHMAN BROTHERS HOLDINGS,,,,,,INC,,,
VIKING CONSTRUCTION,,,VIKING CONSTRUCTION,,,,,,,,,
SAINT LOUIS UNIVERSITY,,,SAINT LOUIS,UNIVERSITY,,,,,,,,
AMAZON.COM,,,AMAZON.COM,,,,,,,,,
LACASSE LAW,,,LACASSE LAW,,,,,,,,,
UNIVERSITY OF TORONTO,,,OF TORONTO,UNIVERSITY,,,,,,,,
JONES DAY,,,JONES DAY,,,,,,,,,
NEWPORT BEACH DERMATOLOGY AND PLASTIC,,,NEWPORT BEACH DERMATOLOGY AND PLASTIC,,,,,,,,,
ACHILL BEG CONSTRUCTION,,,ACHILL BEG CONSTRUCTION,,,,,,,,,
SGA,,,,,,,,,,SGA,,
HOPE MEDICAL SUPPLY,,,HOPE MEDICAL SUPPLY,,,,,,,,,
JDCOUNSEL,,,JDCOUNSEL,,,,,,,,,
BEYOND BROTHER TRAVEL,,,BEYOND BROTHER TRAVEL,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
MARRETTI USA,,,MARRETTI USA,,,,,,,,,
OBERMAYER REBMANN MAXWELL & HIPPEL,,,OBERMAYER REBMANN MAXWELL & HIPPEL,,,,,,,,,
THE CATERED AFFAIR,,,THE CATERED AFFAIR,,,,,,,,,
SMITH MURDAUGH,,,SMITH MURDAUGH,,,,,,,,,
DUKE UNIVERSITY FOUNDATION,,,DUKE UNIVERSITY,FOUNDATION,,,,,,,,
NEWSWEB CORP.,,,NEWSWEB,CORP.,,,,,,,,
DARILYNN'S,,,DARILYNN'S,,,,,,,,,
ADVANCED SPINE AND PAIN CENTER,,,ADVANCED SPINE AND PAIN,CENTER,,,,,,,,
CENTENE CORPORATION,,,CENTENE,CORPORATION,,,,,,,,
MCWILLIAMS BALLARD INC,,,MCWILLIAMS BALLARD,,,,,,INC,,,
HBO,,,HBO,,,,,,,,,
SIDLEY AUSTIN LLP,,,SIDLEY AUSTIN,,,,,,LLP,,,
GARDY & NOTIS,,,GARDY & NOTIS,,,,,,,,,
BRILLIO,,,BRILLIO,,,,,,,,,
GEORGE WASHINGTON UNIVERSITY,,,GEORGE WASHINGTON UNIVERSITY,,,,,,,,,
LONGMI LASHES,,,LONGMI LASHES,,,,,,,,,
THE CENTER FOR NEUROLOGY AND NEUROPHYS,,,THE FOR NEUROLOGY AND NEUROPHYS,CENTER,,,,,,,,
TRATE PROPERTIES,,,TRATE PROPERTIES,,,,,,,,,
CIIF,,,CIIF,,,,,,,,,
COMMUNICATE HEALTH,,,COMMUNICATE HEALTH,,,,,,,,,
OWINGS LAW FIRM,,,OWINGS,LAW FIRM,,,,,,,,
SAN FRANCISCO ZOO,,,SAN FRANCISCO ZOO,,,,,,,,,
STEWARD HEALTH  CARE,,,STEWARD HEALTH CARE,,,,,,,,,
NEW YORK HEALTH TRADE COUNCIL,,,NEW YORK HEALTH TRADE,COUNCIL,,,,,,,,
SIDLEY AUSTIN,,,SIDLEY AUSTIN,,,,,,,,,
VIACOM,,,VIACOM,,,,,,,,,
REED SMITH LLP,,,REED SMITH,,,,,,LLP,,,
CALIFORNIA ENVIRONMENTAL PROTECTION AG,,,CALIFORNIA ENVIRONMENTAL PROTECTION,,,,,,AG,,,
ROBARDS & COMPANY,,,ROBARDS,,& COMPANY,,,,,,,
U.S. DEPARTMENT OF STATE,,,U.S. DEPARTMENT OF STATE,,,,,,,,,
MARKOVITS,,,MARKOVITS,,,,,,,,,
THE ICKES & ENRIGHT GROUP,,,THE ICKES & ENRIGHT,GROUP,,,,,,,,
OVERTURE,,,OVERTURE,,,,,,,,,
U.S. HOUSE OF REPRESENTATIVES,,,U.S. HOUSE OF REPRESENTATIVES,,,,,,,,,
MAYER BROWN LLP,,,MAYER BROWN,,,,,,LLP,,,
ZIFFREN LAW,,,ZIFFREN LAW,,,,,,,,,
ROCK CREEK,,,ROCK CREEK,,,,,,,,,
STG,,,STG,,,,,,,,,
CHENIERE ENERGY,,,CHENIERE ENERGY,,,,,,,,,
CORNING INCORPORATED,,,CORNING,,,,,,INCORPORATED,,,
IETAN CONSULTING,,,IETAN CONSULTING,,,,,,,,,
THE CARLYLE GROUP,,,THE CARLYLE,GROUP,,,,,,,,
BLOOM STRATEGIC COUNSEL PLLC,,,BLOOM STRATEGIC COUNSEL,,,,,,PLLC,,,
CISCO SYSTEMS,,,CISCO SYSTEMS,,,,,,,,,
MOSAIC,,,MOSAIC,,,,,,,,,
UNIVERSITY OF CALIFORNIA,,,OF CALIFORNIA,UNIVERSITY,,,,,,,,
CENTENE CORPORATION,,,CENTENE,CORPORATION,,,,,,,,
FIRST GUARANTY MORTGAGE CORPORATION,,,FIRST GUARANTY MORTGAGE,CORPORATION,,,,,,,,
TURNER BROADCASTING SYSTEM,,,TURNER BROADCASTING SYSTEM,,,,,,,,,
AFFIRMATIVE RISK MANAGEMENT CORP,,,AFFIRMATIVE RISK MANAGEMENT,CORP,,,,,,,,
PEDIATRIC AIDS CHICAGO PREVENTION INIT,,,PEDIATRIC AIDS CHICAGO PREVENTION INIT,,,,,,,,,
SYNERGICS,,,SYNERGICS,,,,,,,,,
JPMORGAN CHASE,,,JPMORGAN CHASE,,,,,,,,,
CENTERVIEW PARTNERS,,,,CENTERVIEW PARTNERS,,,,,,,,
FARELLA BRAUN+ MARTEL LLP,,,FARELLA BRAUN MARTEL,,,,,,LLP,,,
EAGLEVALE PARTNERS LP,,,EAGLEVALE,PARTNERS,,,,,LP,,,
SACRED HEART CATHEDRAL PREPARATORY,,,SACRED HEART CATHEDRAL PREPARATORY,,,,,,,,,
AMERICA VOTES,,,AMERICA VOTES,,,,,,,,,
LIONSGATE,,,LIONSGATE,,,,,,,,,
MERCER THOMPSON LLC,,,MERCER THOMPSON,,,,,,LLC,,,
PELLERIN ENERGY GROUP,,,PELLERIN ENERGY,GROUP,,,,,,,,
GENESIS CONSULTING,,,GENESIS CONSULTING,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
CARDINAL GLENNON CHILDREN,,,CARDINAL GLENNON CHILDREN,,,,,,,,,
UT SOUTHWESTERN MEDICAL CENTER,,,UT SOUTHWESTERN,MEDICAL CENTER,,,,,,,,
UNI-TRADE FORWARDING LLC,,,UNI-TRADE FORWARDING,,,,,,LLC,,,
L'OREAL USA PRODUCTS,,,L'OREAL USA PRODUCTS,,,,,,,,,
JAM HOLDINGS LLC,,,JAM HOLDINGS,,,,,,LLC,,,
TRJOLLY LLC,,,TRJOLLY,,,,,,LLC,,,
PROFESSIONAL INSURANCE GROUP,,,PROFESSIONAL INSURANCE,GROUP,,,,,,,,
BONDURANT,,,BONDURANT,,,,,,,,,
DOWD BENNETT LLP,,,DOWD BENNETT,,,,,,LLP,,,
ALTERNATIVE SCHOOL FOR MATH & SCIENCE,,,FOR MATH & SCIENCE,ALTERNATIVE SCHOOL,,,,,,,,
AT&T,,,AT & T,,,,,,,,,
FELDMAN FINE ARTS,,,FELDMAN FINE ARTS,,,,,,,,,
CLEAN THE WORLD GLOBAL,,,CLEAN THE WORLD GLOBAL,,,,,,,,,
SUNDANCE INSTITUTE,,,,SUNDANCE INSTITUTE,,,,,,,,
K & L GATES LLP,,,K & L GATES LLP,,,,,,,,,
EMERUS,,,EMERUS,,,,,,,,,
COLUMBIA LAW SCHOOL,,,COLUMBIA,LAW SCHOOL,,,,,,,,
FIRST WASHINGTON REALTY,,,FIRST WASHINGTON REALTY,,,,,,,,,
BISHOP,,,BISHOP,,,,,,,,,
ID AGENCY INC.,,,ID AGENCY,,,,,,INC.,,,
FAST HEAT INC,,,FAST HEAT,,,,,,INC,,,
AERIS COMMUNICATION,,,AERIS COMMUNICATION,,,,,,,,,
ALIGNMENT GOVERNMENT STRATEGIES,,,ALIGNMENT GOVERNMENT STRATEGIES,,,,,,,,,
TWITTER,,,TWITTER,,,,,,,,,
NEW YORK LEGAL ASSISTANCE GROUP,,,NEW YORK LEGAL,ASSISTANCE GROUP,,,,,,,,
HILLARY FOR AMERICA,,,HILLARY FOR AMERICA,,,,,,,,,
JPMORGAN CHASE,,,JPMORGAN CHASE,,,,,,,,,
XYD WHOLESELL,,,XYD WHOLESELL,,,,,,,,,
PAUL,,,PAUL,,,,,,,,,
INTERTREND,,,INTERTREND,,,,,,,,,
CORNING INC.,,,CORNING,,,,,,INC.,,,
SOUTHERN UTAH STATE UNIVERSITY,,,SOUTHERN UTAH STATE,UNIVERSITY,,,,,,,,
CSO ARCHITECTS,,,CSO ARCHITECTS,,,,,,,,,
OXFAM AMERICA,,,OXFAM AMERICA,,,,,,,,,
AT&T,,,AT & T,,,,,,,,,
SAPPHIRE PARTNERS,,,SAPPHIRE,PARTNERS,,,,,,,,
SUNY,,,SUNY,,,,,,,,,
EMORY UNIVERSITY,,,EMORY,UNIVERSITY,,,,,,,,
RYAN LAWSON,,,RYAN LAWSON,,,,,,,,,
THE PETERSON FIRM,,,THE PETERSON FIRM,,,,,,,,,
PAYNE & ASSOCIATES,,,PAYNE,,& ASSOCIATES,,,,,,,
STRATTAM CAPITAL,,,STRATTAM CAPITAL,,,,,,,,,
COOL COMFORT BY CARSON,,,COOL COMFORT BY CARSON,,,,,,,,,
GM,,,,,,,,,,GM,,
THE URBAN INSTITUTE,,,THE URBAN,INSTITUTE,,,,,,,,
CHAIRMAN,,,CHAIRMAN,,,,,,,,,
WESTFIELD,,,WESTFIELD,,,,,,,,,
THOMPSON COBURN LLP,,,THOMPSON COBURN,,,,,,LLP,,,
VIEW CARE,,,VIEW CARE,,,,,,,,,
THE RECENT GROUP,,,THE RECENT,GROUP,,,,,,,,
BONETT MEDICAL CENTER,,,BONETT,MEDICAL CENTER,,,,,,,,
ATLANTIC BAY SOTHEBY'S INTERNATIONAL R,,,ATLANTIC BAY SOTHEBY'S,INTERNATIONAL R,,,,,,,,
GERLEIN ORTHODONTICS /,,,GERLEIN ORTHODONTICS,,,,,,,,,
AMERICA'S ESSENTIAL HOSPITALS,,,AMERICA'S ESSENTIAL,HOSPITALS,,,,,,,,
CITYVIEW,,,CITYVIEW,,,,,,,,,
RESOURCES REAL ESTATE,,,RESOURCES REAL ESTATE,,,,,,,,,
EPICOR SOFTWARE CORPORATION,,,EPICOR SOFTWARE,CORPORATION,,,,,,,,
ST. CHRISTOPHER'S HOSPITAL FOR CHILDRE,,,ST. CHRISTOPHER'S FOR CHILDRE,HOSPITAL,,,,,,,,
MICROSOFT CORPORATION,,,MICROSOFT,CORPORATION,,,,,,,,
ANSWERLAB,,,ANSWERLAB,,,,,,,,,
CLINTON FOUNDATION,,,CLINTON FOUNDATION,,,,,,,,,
NORTHWESTERN MEDICINE,,,NORTHWESTERN MEDICINE,,,,,,,,,
CONTROL MODULE,,,CONTROL MODULE,,,,,,,,,
TEXAS TECH UNIVERSITY,,,TEXAS TECH,UNIVERSITY,,,,,,,,
SUITESEATS,,,SUITESEATS,,,,,,,,,
SULLIVAN & CROMWELL LLP,,,SULLIVAN & CROMWELL,,,,,,LLP,,,
GEORGETOWN LAW SCHOOL,,,GEORGETOWN,LAW SCHOOL,,,,,,,,
PACERS SPORTS AND ENTERTAINMENT,,,PACERS SPORTS AND ENTERTAINMENT,,,,,,,,,
32 ADVISORS,,,32 ADVISORS,,,,,,,,,
SALESFORCE.COM,,,SALESFORCE.COM,,,,,,,,,
CLARK LOVE HUTSON,,,CLARK LOVE HUTSON,,,,,,,,,
GROSSBERG COMPANY,,,GROSSBERG,COMPANY,,,,,,,,
CREATIVE ARTISTS AGENCY,,,CREATIVE ARTISTS,AGENCY,,,,,,,,
EGON ZEHNDER,,,EGON ZEHNDER,,,,,,,,,
CREATIVE ARTIST AGENCY,,,CREATIVE ARTIST,AGENCY,,,,,,,,
POST & SCHELL,,,POST & SCHELL,,,,,,,,,
JENNER & BLOCK LLP,,,JENNER & BLOCK LLP,,,,,,,,,
AMARYLLIS,,,AMARYLLIS,,,,,,,,,
KNIGHT BLANC,,,KNIGHT BLANC,,,,,,,,,
ZFS,,,ZFS,,,,,,,,,
RHODE ISLAND SCHOOL OF DESIGN,,,RHODE ISLAND OF DESIGN,SCHOOL,,,,,,,,
FORBES-TATE,,,FORBES-TATE,,,,,,,,,
SANOFI PASTEUR,,,SANOFI PASTEUR,,,,,,,,,
GREENBERG TRAURIG LLP,,,GREENBERG TRAURIG,,,,,,LLP,,,
KEIO ACADEMY OF NEW YORK,,,KEIO ACADEMY OF NEW YORK,,,,,,,,,
ISLES STRATEGIES,,,ISLES STRATEGIES,,,,,,,,,
ALFALIGHT INC.,,,ALFALIGHT,,,,,,INC.,,,
WOMEN MANAGEMENT,,,WOMEN MANAGEMENT,,,,,,,,,
ZYNGA,,,ZYNGA,,,,,,,,,
ROPES & GRAY LLP,,,ROPES & GRAY,,,,,,LLP,,,
PERMANENTE MEDICAL GROUP,,,PERMANENTE MEDICAL,GROUP,,,,,,,,
WASHINGTON FINE PROPERTIES,,,WASHINGTON FINE PROPERTIES,,,,,,,,,
BOCHCO MEDIA LLC,,,BOCHCO MEDIA,,,,,,LLC,,,
LATHAM & WATKINS LLP,,,LATHAM & WATKINS,,,,,,LLP,,,
DAVID CAPES PHOTOGRAPHY LLC,,,DAVID CAPES PHOTOGRAPHY,,,,,,LLC,,,
UNITED STATES GOVERNMENT,,,UNITED STATES,GOVERNMENT,,,,,,,,
BROUSSARD & DAVID,,,BROUSSARD & DAVID,,,,,,,,,
BERNSTEIN LITOWITZ BERGER & GROSSMANN,,,BERNSTEIN LITOWITZ BERGER & GROSSMANN,,,,,,,,,
SUSQUEHANNA INTERNATIONAL GROUP,,,SUSQUEHANNA,INTERNATIONAL GROUP,,,,,,,,
CARDINAL HEALTH,,,CARDINAL HEALTH,,,,,,,,,
ATTORNEY,,,ATTORNEY,,,,,,,,,
BAKER HOSTETLER LLP,,,BAKER HOSTETLER,,,,,,LLP,,,
DELOITTE & TOUCHE LLP,,,DELOITTE & TOUCHE,,,,,,LLP,,,
BLUEWAVENJ,,,BLUEWAVENJ,,,,,,,,,
CHRISTINE HANSEN,,,CHRISTINE HANSEN,,,,,,,,,
GEORGE K BAUM & COMPANY,,,GEORGE K BAUM,,& COMPANY,,,,,,,
AECOM,,,AECOM,,,,,,,,,
MAMS,,,MAMS,,,,,,,,,
KRAVOLEC,,,KRAVOLEC,,,,,,,,,
STANDARD OPTICAL COMPANY,,,STANDARD OPTICAL,COMPANY,,,,,,,,
QUINN EMANUEL URQUHART & SULLIVAN,,,QUINN EMANUEL URQUHART & SULLIVAN,,,,,,,,,
DAVID J. JENKINS,,,DAVID J. JENKINS,,,,,,,,,
HOLLAND & KNIGHT,,,HOLLAND & KNIGHT,,,,,,,,,
ATLANTA NEUROLOGY SURGERY AND SPINE IN,,,ATLANTA NEUROLOGY SURGERY AND SPINE IN,,,,,,,,,
DIEGNAN AND BROPHY LLC,,,DIEGNAN AND BROPHY,,,,,,LLC,,,
PALISADES ARCADIA BASEBALL,,,PALISADES ARCADIA,BASEBALL,,,,,,,,
CRISTOPHE,,,CRISTOPHE,,,,,,,,,
